,resource_id,ts,node_hwmon_temp_celsius,node_cpu_seconds_total,node_memory_MemTotal_bytes,node_memory_MemFree_bytes,node_disk_read_bytes_total_x,node_disk_read_bytes_total_y
130,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723747200.0,41.07666666666662,41700.017833333324,1081840218112.0,1031624937130.6666,546890743.4666667,546890743.4666667
131,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723747500.0,38.5008333333333,50616.56683333333,1081840218112.0,1031630989448.5333,646388258.1333333,646388258.1333333
132,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723747800.0,38.698333333333295,41864.42866666666,1081840218112.0,1031584457113.6,495836535.46666664,495836535.46666664
133,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723748100.0,41.550833333333294,42008.66533333332,1081840218112.0,1031562144153.6,586981316.2666667,586981316.2666667
134,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723748400.0,41.06083333333329,28132.281666666666,1081840218112.0,1031545539857.0667,453794833.06666666,453794833.06666666
135,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723748700.0,40.37999999999997,32656.313666666672,1081840218112.0,1031535463150.9333,568305339.7333333,568305339.7333333
136,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723749000.0,39.28166666666663,32764.74616666667,1081840218112.0,1031537900680.5333,684985847.4666667,684985847.4666667
137,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723749300.0,39.758333333333304,37008.31183333333,1081840218112.0,1031550469529.6,581459916.8,581459916.8
138,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723749600.0,40.0008333333333,32707.211833333324,1081840218112.0,1031546288605.8667,600823278.9333333,600823278.9333333
139,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723749900.0,37.75999999999996,33401.5485,1081840218112.0,1031584033996.8,696497024.0,696497024.0
140,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723750200.0,40.05999999999996,19049.472333333335,1081840218112.0,1031569859788.8,659210581.3333334,659210581.3333334
141,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723750500.0,40.874166666666625,37698.24699999999,1081840218112.0,1031564496691.2,541053678.9333333,541053678.9333333
142,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723750800.0,41.20833333333329,27651.878166666673,1081840218112.0,1031517737915.7333,564218248.5333333,564218248.5333333
143,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723751100.0,39.67499999999996,33075.969,1081840218112.0,1031487798613.3334,573317828.2666667,573317828.2666667
144,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723751400.0,39.74416666666662,28417.424166666668,1081840218112.0,1031470771609.6,536926882.1333333,536926882.1333333
145,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723751700.0,42.753333333333295,14442.820333333331,1081840218112.0,1031468062446.9333,704819003.7333333,704819003.7333333
146,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723752000.0,39.62749999999996,33234.26350000001,1081840218112.0,1031437729723.7333,591533806.9333333,591533806.9333333
147,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723752300.0,38.83416666666663,23696.234666666664,1081840218112.0,1031460563763.2,944760550.4,944760550.4
148,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723752600.0,38.226666666666624,52265.12016666667,1081840218112.0,1031405633058.1333,772881433.6,772881433.6
