,ts,Free RAM
350,1726077300.0,822479949755.7333
351,1726077600.0,822455722530.1333
352,1726077900.0,822390522470.4
353,1726078200.0,822499891609.6
354,1726078500.0,822602088925.8667
355,1726078800.0,822603378210.1333
356,1726079100.0,822545096499.2
357,1726079400.0,822573605888.0
358,1726079700.0,822488770764.8
359,1726080000.0,822490474700.8
360,1726080300.0,822423415534.9333
361,1726080600.0,822427842286.9333
362,1726080900.0,822417715336.5333
363,1726081200.0,822239353924.2667
364,1726081500.0,822111470523.7333
365,1726081800.0,822141546973.8667
366,1726082100.0,822246178474.6666
367,1726082400.0,822367860804.2667
368,1726082700.0,822448137011.2
369,1726083000.0,822357530009.6
370,1726083300.0,822244327833.6
371,1726083600.0,822211168529.0667
372,1726083900.0,822183004364.8
373,1726084200.0,822230912409.6
374,1726084500.0,822031096695.4667
375,1726084800.0,821996756718.9333
376,1726085100.0,821976548966.4
377,1726085400.0,821680040550.4
378,1726085700.0,821256651980.8
379,1726086000.0,821457951129.6
380,1726086300.0,821587988821.3334
381,1726086600.0,821565536733.8667
382,1726086900.0,821409334272.0
383,1726087200.0,821583364232.5333
384,1726087500.0,821541064226.1333
385,1726087800.0,821498690150.4
386,1726088100.0,821478862711.4667
387,1726088400.0,821458583483.7333
388,1726088700.0,821333394705.0667
389,1726089000.0,821293921211.7333
390,1726089300.0,821228558336.0
391,1726089600.0,821193761109.3334
392,1726089900.0,821018469106.5264
