,ts,CPU seconds
133,1726012200.0,121919.83049999998
134,1726012500.0,79762.514
135,1726012800.0,97302.41999999998
136,1726013100.0,96015.88116666666
137,1726013400.0,89588.85100000002
138,1726013700.0,48696.04550000002
139,1726014000.0,91186.65599999999
140,1726014300.0,72916.66733333332
141,1726014600.0,115706.41799999996
142,1726014900.0,91070.88450000003
143,1726015200.0,107959.78833333334
144,1726015500.0,68601.0715
145,1726015800.0,112926.84250000001
146,1726016100.0,105686.50183333333
147,1726016400.0,65388.29
148,1726016700.0,74860.64116666667
149,1726017000.0,109675.03850000001
150,1726017300.0,73200.89816666667
151,1726017600.0,143456.98933333333
152,1726017900.0,124183.3156666667
153,1726018200.0,91274.67966666669
154,1726018500.0,93996.57983333334
155,1726018800.0,90897.29866666668
156,1726019100.0,89246.38866666667
157,1726019400.0,61797.76933333333
158,1726019700.0,83633.00983333332
159,1726020000.0,93202.27566666667
160,1726020300.0,76442.59699999998
161,1726020600.0,93795.99283333332
162,1726020900.0,98142.09750000005
163,1726021200.0,88996.457
164,1726021500.0,43461.08400000001
165,1726021800.0,67895.31366666667
166,1726022100.0,71511.85266666667
167,1726022400.0,104175.05983333333
168,1726022700.0,98390.70583333334
169,1726023000.0,137621.90416666667
170,1726023300.0,86864.34250000003
171,1726023600.0,72381.27850000001
172,1726023900.0,59252.24149999998
173,1726024200.0,95019.02566666667
174,1726024500.0,103925.08783333334
175,1726024800.0,86015.28483333335
176,1726025100.0,50921.322333333344
177,1726025400.0,125405.845
178,1726025700.0,74850.24233333331
179,1726026000.0,46360.78699999999
180,1726026300.0,134271.25633333335
181,1726026600.0,98555.67849999998
182,1726026900.0,38549.11233333334
183,1726027200.0,83628.96983333334
184,1726027500.0,109548.00166666665
185,1726027800.0,83333.74383333334
186,1726028100.0,26543.84299999999
187,1726028400.0,73483.66383333332
188,1726028700.0,72871.96266666666
189,1726029000.0,99144.90816666669
190,1726029300.0,72207.21866666665
191,1726029600.0,80691.12566666667
192,1726029900.0,75498.6145
193,1726030200.0,88838.09449999999
194,1726030500.0,145043.43416666667
195,1726030800.0,96021.94933333334
196,1726031100.0,94133.73266666666
197,1726031400.0,79095.85800000002
198,1726031700.0,120158.29500000003
199,1726032000.0,116379.20999999998
200,1726032300.0,94140.452
201,1726032600.0,114586.74366666665
202,1726032900.0,89579.11416666665
203,1726033200.0,85652.78766666666
204,1726033500.0,57077.73300000001
205,1726033800.0,72438.08583333335
206,1726034100.0,85063.82216666666
207,1726034400.0,94765.02233333333
208,1726034700.0,107303.45816666663
209,1726035000.0,82482.6488333333
210,1726035300.0,76051.54066666667
211,1726035600.0,124135.14700000001
212,1726035900.0,125295.21500000003
213,1726036200.0,106312.15049999999
214,1726036500.0,52745.79633333333
215,1726036800.0,89272.54483333332
216,1726037100.0,78618.35783333334
217,1726037400.0,113564.87016666665
218,1726037700.0,83612.95816666666
219,1726038000.0,92655.12250000001
220,1726038300.0,109923.07883333332
221,1726038600.0,78908.40733333334
222,1726038900.0,93429.38416666668
223,1726039200.0,72662.83516666666
224,1726039500.0,67437.96750000001
225,1726039800.0,58317.33916666666
226,1726040100.0,63656.984333333334
227,1726040400.0,69687.36183333333
228,1726040700.0,112311.93583333332
229,1726041000.0,79032.72916666667
230,1726041300.0,58110.853166666646
231,1726041600.0,57446.026666666665
232,1726041900.0,60870.48816666667
233,1726042200.0,110731.4918333333
234,1726042500.0,63591.19616666667
235,1726042800.0,110270.49350000003
236,1726043100.0,57341.35999999999
237,1726043400.0,54620.89283333334
238,1726043700.0,55724.156833333334
239,1726044000.0,41738.45533333333
240,1726044300.0,85381.55566666664
241,1726044600.0,73937.29833333332
242,1726044900.0,87295.43833333332
243,1726045200.0,73308.27166666667
244,1726045500.0,67759.90033333334
245,1726045800.0,110958.75916666663
246,1726046100.0,57136.30850000001
247,1726046400.0,119456.01433333335
248,1726046700.0,73931.03749999999
249,1726047000.0,95463.44950000002
250,1726047300.0,53530.89766666666
251,1726047600.0,58361.04316666667
252,1726047900.0,47117.13766666666
253,1726048200.0,101928.71033333334
254,1726048500.0,92214.40733333332
255,1726048800.0,85496.28233333332
256,1726049100.0,95926.38966666666
257,1726049400.0,84698.3855
258,1726049700.0,104318.20766666665
259,1726050000.0,110340.08916666669
260,1726050300.0,72249.25483333333
261,1726050600.0,122205.18966666664
262,1726050900.0,91212.62966666666
263,1726051200.0,133217.4356666667
264,1726051500.0,113878.27666666667
265,1726051800.0,88675.8575
266,1726052100.0,70991.77766666669
267,1726052400.0,88404.66683333334
268,1726052700.0,113405.02483333334
269,1726053000.0,124731.394
270,1726053300.0,69834.87383333332
271,1726053600.0,95286.19699999997
272,1726053900.0,102569.44716666666
273,1726054200.0,112448.70983333336
274,1726054500.0,125471.76416666668
275,1726054800.0,102693.58549999999
276,1726055100.0,138355.35733333338
277,1726055400.0,72876.148
278,1726055700.0,64589.42716666664
279,1726056000.0,100617.52100000004
280,1726056300.0,88838.62499999999
281,1726056600.0,53816.67116666667
282,1726056900.0,58874.4905
283,1726057200.0,47850.085999999996
284,1726057500.0,98827.67916666665
285,1726057800.0,78286.30566666667
286,1726058100.0,78734.32866666667
287,1726058400.0,81973.68166666667
288,1726058700.0,86591.14816666665
289,1726059000.0,85729.96699999999
290,1726059300.0,110546.79349999997
291,1726059600.0,104761.36766666666
292,1726059900.0,63998.95333333333
293,1726060200.0,80471.52616666668
294,1726060500.0,69967.85133333334
295,1726060800.0,85160.35233333331
296,1726061100.0,51839.54216666667
297,1726061400.0,125415.83633333331
298,1726061700.0,92214.42699999998
299,1726062000.0,152270.55266666666
300,1726062300.0,91641.64316666668
301,1726062600.0,129542.34298245615
302,1726062900.0,53145.88333333334
303,1726063200.0,64521.41633333333
304,1726063500.0,87885.195
305,1726063800.0,82864.08616666665
306,1726064100.0,107953.09766666667
307,1726064400.0,59092.10316666667
308,1726064700.0,90079.994
309,1726065000.0,107663.06400000001
310,1726065300.0,62229.45399999999
311,1726065600.0,90832.14350000002
312,1726065900.0,54326.54649999999
313,1726066200.0,78301.64083333334
314,1726066500.0,141544.0175
315,1726066800.0,47971.25416666666
316,1726067100.0,101859.64483333331
317,1726067400.0,113205.6135
318,1726067700.0,52233.040166666666
319,1726068000.0,80141.21333333332
320,1726068300.0,97746.23616666668
321,1726068600.0,77272.13316666667
322,1726068900.0,92456.06133333333
323,1726069200.0,76595.31383333332
324,1726069500.0,144553.90883333335
325,1726069800.0,73733.98033333333
326,1726070100.0,127508.173
327,1726070400.0,78489.3325
328,1726070700.0,79519.73599999999
329,1726071000.0,39390.39066666666
330,1726071300.0,91611.5013333333
331,1726071600.0,110463.43016666667
332,1726071900.0,85603.02566666668
333,1726072200.0,95803.12333333334
334,1726072500.0,56771.50816666665
335,1726072800.0,91877.13183333332
336,1726073100.0,89877.39133333335
337,1726073400.0,95358.13416666671
338,1726073700.0,99743.17799999999
339,1726074000.0,63600.91866666667
340,1726074300.0,90878.23983333335
341,1726074600.0,90120.78916666667
342,1726074900.0,19277.356000000007
343,1726075200.0,136013.7648333333
344,1726075500.0,143604.23249999995
345,1726075800.0,105128.0605
346,1726076100.0,113106.40366666667
347,1726076400.0,89150.2725
348,1726076700.0,115019.41716666665
349,1726077000.0,95411.80616666666
350,1726077300.0,75093.94316666666
351,1726077600.0,122595.93933333339
352,1726077900.0,60535.598000000005
353,1726078200.0,143938.61516666666
354,1726078500.0,101247.87233333333
355,1726078800.0,139758.9286666667
356,1726079100.0,57977.63816666665
357,1726079400.0,91409.74316666668
358,1726079700.0,92334.34383333333
359,1726080000.0,53557.90716666666
360,1726080300.0,110836.76583333334
361,1726080600.0,55310.23383333335
362,1726080900.0,112714.61233333337
363,1726081200.0,65615.763
364,1726081500.0,46387.640666666666
365,1726081800.0,78811.074
366,1726082100.0,81579.6911666667
367,1726082400.0,53410.45366666666
368,1726082700.0,52950.422666666665
369,1726083000.0,102955.52949999999
370,1726083300.0,37493.507333333335
371,1726083600.0,94561.73816666666
372,1726083900.0,119660.69666666661
373,1726084200.0,125549.01683333334
374,1726084500.0,149102.96600000004
375,1726084800.0,82975.02833333334
376,1726085100.0,143458.0335
377,1726085400.0,152489.7393333333
378,1726085700.0,68570.09883333332
379,1726086000.0,63330.60933333333
380,1726086300.0,70713.84500000002
381,1726086600.0,84042.17566666663
382,1726086900.0,111750.57400000002
383,1726087200.0,57874.287499999984
384,1726087500.0,110922.39033333333
385,1726087800.0,99466.98016666668
386,1726088100.0,100174.454
387,1726088400.0,86577.39249999999
388,1726088700.0,72553.68916666668
389,1726089000.0,110317.00533333332
390,1726089300.0,90631.36783333332
391,1726089600.0,79721.91299999997
392,1726089900.0,78250.27538461538
