,ts,CPU load 5 avg
165,1726021800.0,18.963499999999996
166,1726022100.0,18.559833333333327
167,1726022400.0,17.9295
168,1726022700.0,18.309666666666665
169,1726023000.0,18.565999999999995
170,1726023300.0,18.360333333333337
171,1726023600.0,17.63383333333333
172,1726023900.0,17.577333333333332
173,1726024200.0,17.457000000000004
174,1726024500.0,18.364166666666662
175,1726024800.0,17.72133333333334
176,1726025100.0,17.626166666666663
177,1726025400.0,17.35566666666666
178,1726025700.0,17.554666666666666
179,1726026000.0,17.348666666666663
180,1726026300.0,17.289500000000007
181,1726026600.0,17.13766666666667
182,1726026900.0,17.279166666666676
183,1726027200.0,18.457500000000003
184,1726027500.0,17.72000000000001
185,1726027800.0,17.520166666666668
186,1726028100.0,17.61933333333333
187,1726028400.0,17.43516666666667
188,1726028700.0,17.43916666666667
189,1726029000.0,17.45583333333333
190,1726029300.0,17.507999999999996
191,1726029600.0,17.604833333333332
192,1726029900.0,18.540833333333335
193,1726030200.0,17.76383333333333
194,1726030500.0,17.939999999999994
195,1726030800.0,17.702166666666677
196,1726031100.0,18.52
197,1726031400.0,18.773833333333332
198,1726031700.0,18.416333333333334
199,1726032000.0,17.844666666666672
200,1726032300.0,19.877666666666666
201,1726032600.0,25.137999999999998
202,1726032900.0,25.656666666666677
203,1726033200.0,22.572
204,1726033500.0,19.09683333333333
205,1726033800.0,17.917499999999997
206,1726034100.0,17.463000000000008
207,1726034400.0,17.43733333333333
208,1726034700.0,17.757500000000004
209,1726035000.0,17.84233333333334
210,1726035300.0,18.808000000000003
211,1726035600.0,19.240833333333327
212,1726035900.0,18.319000000000006
213,1726036200.0,17.936333333333334
214,1726036500.0,17.980499999999996
215,1726036800.0,17.89266666666666
216,1726037100.0,17.56466666666666
217,1726037400.0,17.521333333333335
218,1726037700.0,17.801833333333338
219,1726038000.0,18.295666666666666
220,1726038300.0,17.933666666666667
221,1726038600.0,18.479833333333325
222,1726038900.0,19.129333333333328
223,1726039200.0,19.0215
224,1726039500.0,18.428333333333327
225,1726039800.0,18.608999999999995
226,1726040100.0,20.017999999999997
227,1726040400.0,19.500666666666675
228,1726040700.0,34.477
229,1726041000.0,38.880833333333335
230,1726041300.0,26.100500000000004
231,1726041600.0,20.8715
232,1726041900.0,18.9595
233,1726042200.0,19.159000000000002
234,1726042500.0,19.261166666666668
235,1726042800.0,18.404999999999994
236,1726043100.0,17.912499999999987
237,1726043400.0,19.303166666666673
238,1726043700.0,20.655166666666677
239,1726044000.0,18.974166666666672
240,1726044300.0,18.571833333333334
241,1726044600.0,18.100166666666663
242,1726044900.0,17.49416666666667
243,1726045200.0,17.940666666666665
244,1726045500.0,18.142500000000005
245,1726045800.0,18.417666666666673
246,1726046100.0,18.431499999999996
247,1726046400.0,17.670166666666667
248,1726046700.0,17.3815
249,1726047000.0,17.209499999999995
250,1726047300.0,17.3275
251,1726047600.0,17.52066666666667
252,1726047900.0,18.31183333333333
253,1726048200.0,17.935500000000005
254,1726048500.0,17.6655
255,1726048800.0,17.497333333333323
256,1726049100.0,17.69833333333333
257,1726049400.0,18.3175
258,1726049700.0,18.827499999999997
259,1726050000.0,17.87033333333333
260,1726050300.0,17.738666666666674
261,1726050600.0,18.592
262,1726050900.0,18.470166666666668
263,1726051200.0,17.632833333333334
264,1726051500.0,17.5585
265,1726051800.0,17.433333333333334
266,1726052100.0,17.97533333333333
267,1726052400.0,18.270166666666668
268,1726052700.0,18.555499999999995
269,1726053000.0,18.518166666666662
270,1726053300.0,17.922166666666666
271,1726053600.0,17.746
272,1726053900.0,17.740000000000002
273,1726054200.0,17.582999999999988
274,1726054500.0,17.512999999999998
275,1726054800.0,17.41666666666667
276,1726055100.0,17.275500000000005
277,1726055400.0,17.488833333333336
278,1726055700.0,17.67916666666666
279,1726056000.0,17.325999999999997
280,1726056300.0,17.454833333333333
281,1726056600.0,17.425500000000003
282,1726056900.0,17.601166666666664
283,1726057200.0,18.375833333333336
284,1726057500.0,21.828500000000002
285,1726057800.0,24.422333333333338
286,1726058100.0,23.137999999999998
287,1726058400.0,20.319500000000005
288,1726058700.0,18.493333333333332
289,1726059000.0,17.80483333333333
290,1726059300.0,17.90233333333334
291,1726059600.0,18.636333333333337
292,1726059900.0,18.047333333333334
293,1726060200.0,17.778166666666667
294,1726060500.0,17.66033333333333
295,1726060800.0,17.59766666666666
296,1726061100.0,17.609666666666666
297,1726061400.0,17.656000000000002
298,1726061700.0,17.579
299,1726062000.0,17.704166666666662
300,1726062300.0,17.561000000000003
301,1726062600.0,18.74824561403509
302,1726062900.0,28.980166666666662
303,1726063200.0,36.46333333333334
304,1726063500.0,38.93233333333333
305,1726063800.0,39.65666666666665
306,1726064100.0,39.26883333333334
307,1726064400.0,39.01666666666665
308,1726064700.0,38.759333333333345
309,1726065000.0,41.289333333333325
310,1726065300.0,40.07749999999999
311,1726065600.0,51.56650000000001
312,1726065900.0,53.67366666666667
313,1726066200.0,45.03083333333333
314,1726066500.0,41.67966666666668
315,1726066800.0,39.94483333333333
316,1726067100.0,39.14383333333332
317,1726067400.0,39.02233333333335
318,1726067700.0,38.83733333333334
319,1726068000.0,39.05433333333333
320,1726068300.0,39.08116666666668
321,1726068600.0,38.949333333333314
322,1726068900.0,39.04283333333333
323,1726069200.0,39.17733333333332
324,1726069500.0,39.668333333333344
325,1726069800.0,39.71833333333336
326,1726070100.0,39.39799999999999
327,1726070400.0,39.14233333333334
328,1726070700.0,39.09533333333334
329,1726071000.0,38.8185
330,1726071300.0,38.8233333333333
331,1726071600.0,38.886166666666654
332,1726071900.0,39.56583333333333
333,1726072200.0,39.06083333333335
334,1726072500.0,39.01116666666667
335,1726072800.0,38.89733333333332
336,1726073100.0,39.05349999999999
337,1726073400.0,39.179833333333335
338,1726073700.0,39.31299999999998
339,1726074000.0,38.81249999999998
340,1726074300.0,38.922833333333344
341,1726074600.0,38.56950000000001
342,1726074900.0,39.42083333333334
343,1726075200.0,39.54283333333335
344,1726075500.0,39.503333333333316
345,1726075800.0,39.84683333333333
346,1726076100.0,39.57116666666665
347,1726076400.0,39.47483333333335
348,1726076700.0,39.606666666666655
